Date,Close,High,Low,Open,Volume
03-01-2023,123.6325378,129.3955264,122.7428803,128.7826571,112117500
04-01-2023,124.9077072,127.1812756,123.6424198,125.4316146,89113600
05-01-2023,123.5830994,126.3014927,123.3260931,125.668849,80962700
06-01-2023,128.1302185,128.7925161,123.4545866,124.5617167,87754700
09-01-2023,128.6541443,131.8766859,128.397138,128.9704737,70790800
10-01-2023,129.227478,129.7513854,126.6474749,128.7628787,63896200
11-01-2023,131.9557343,131.9754935,128.9605609,129.7414743,69458900
12-01-2023,131.8766632,132.7168847,129.9293041,132.3412625,71379600
13-01-2023,133.2111359,133.3693005,130.1467746,130.5125172,57809700
17-01-2023,134.3776093,135.7120843,132.5884145,133.2803662,63646600
18-01-2023,133.6559906,137.0169072,133.4780516,135.2474869,69672800
19-01-2023,133.7153015,134.6840338,132.2325415,132.5389762,58280400
20-01-2023,136.2854156,136.4337007,132.6773722,133.7251869,80223600
23-01-2023,139.4881744,141.6727808,136.3150614,136.5325341,81760300
24-01-2023,140.891861,141.514625,138.6874952,138.6973748,66435100
25-01-2023,140.2295685,140.7930095,137.2146199,139.2707157,65799300
26-01-2023,142.3054352,142.5920955,140.2690987,141.5245064,54105100
27-01-2023,144.2527771,145.5378388,141.435542,141.5146244,70555800
30-01-2023,141.3564453,143.8771402,141.2081754,143.2939249,64015300
31-01-2023,142.6316223,142.6810507,140.6447293,141.0599003,65874500
01-02-2023,143.7584991,144.9249447,139.6957517,142.315288,77663600
02-02-2023,149.0865936,149.4424416,146.4670417,147.1886474,118339000
03-02-2023,152.7242737,155.5711776,146.1309363,146.3286346,154357300
06-02-2023,149.9860992,151.3403635,149.047021,150.8164562,69858300
07-02-2023,152.8725281,153.4458637,148.9086223,148.9086223,83322600
08-02-2023,150.1739197,152.8033508,149.4325397,152.1113992,64120100
09-02-2023,149.1359863,152.5562258,148.6911614,152.0125442,56007100
10-02-2023,149.5023041,149.8290112,147.7301822,147.9677914,57450700
13-02-2023,152.3139801,152.7198752,149.4132251,149.4429244,62199000
14-02-2023,151.6704407,152.234757,149.353807,150.6012216,61707600
15-02-2023,153.7791748,153.9474757,151.3536388,151.5813383,65573800
16-02-2023,152.1753693,154.7692064,151.8189629,151.977354,68167900
17-02-2023,151.0269623,151.4724665,149.3439379,150.8289621,59144100
21-02-2023,146.9975586,149.7894107,146.9282653,148.7003872,58867200
22-02-2023,147.4232635,148.4528734,145.6907358,147.3836545,51011300
23-02-2023,147.9083557,148.838973,145.769933,148.591469,48394200
24-02-2023,145.2452545,145.720458,144.2651332,145.6412549,55469600
27-02-2023,146.4431458,147.6806656,145.9778371,146.2352509,44998500
28-02-2023,145.9382477,147.5915724,145.3640366,145.5818414,50547000
01-03-2023,143.8592224,145.7600513,143.5622146,145.364051,55479000
02-03-2023,144.4532318,145.2452476,142.4632901,142.9385086,52238100
03-03-2023,149.52211,149.6013131,145.8590539,146.5619568,70732300
06-03-2023,152.2941589,154.7394996,151.9278579,152.2545498,87558000
07-03-2023,150.0864258,152.4921573,149.6211171,152.1654502,56182000
08-03-2023,151.34375,151.9377657,150.3141399,151.2843515,47204800
09-03-2023,149.0865021,152.9970622,148.7300957,152.0268507,53833600
10-03-2023,147.0173645,149.4330058,146.1362509,148.7102984,68572400
13-03-2023,148.9676819,151.6110223,146.2253338,146.3342362,84457100
14-03-2023,151.0665283,151.8684388,148.6013983,149.7696099,73695900
15-03-2023,151.4625397,151.7199384,148.4231836,149.680508,77167900
16-03-2023,154.2939758,154.8978861,150.1260025,150.6408149,76161100
17-03-2023,153.4524841,155.1751175,152.7396714,154.5217033,98944600
20-03-2023,155.8284912,156.2443112,152.6109396,153.5217675,73641400
21-03-2023,157.689743,157.8085401,154.9770938,155.7493202,73938300
22-03-2023,156.2541962,160.5211619,156.2343916,157.7095206,75701800
23-03-2023,157.3432312,159.9370833,156.1057112,157.2442387,67622100
24-03-2023,158.6500549,158.7391527,156.2740227,157.2739334,59196500
27-03-2023,156.699707,159.1648519,156.2937969,158.343137,52390300
28-03-2023,156.076004,156.9076289,154.4226793,156.3928164,45992200
29-03-2023,159.1648712,159.4420745,157.7590504,157.7788398,51305700
30-03-2023,160.7389984,160.8479008,159.6598846,159.9172833,49501700
31-03-2023,163.2536011,163.3526087,160.2934635,160.8181706,68749800
03-04-2023,164.5109406,164.6297376,162.5804126,162.6299164,56976200
04-04-2023,163.9763336,165.1742444,163.4615211,164.9366502,46278300
05-04-2023,162.1250153,163.4021444,160.1845924,163.0952418,51511700
06-04-2023,163.0160675,163.3130754,160.3826208,160.8083206,45390100
10-04-2023,160.4122772,160.4122772,158.4817492,159.8083669,47716900
11-04-2023,159.1945801,160.7390027,158.907467,160.7291079,47644200
12-04-2023,158.5015717,160.4419946,158.1847593,159.6103848,50133100
13-04-2023,163.9070282,164.1446374,159.808363,160.016273,68445600
14-04-2023,163.5605316,164.6594499,162.1844101,162.9467115,49386500
17-04-2023,163.5803375,163.7387437,162.3923214,163.4417359,41516200
18-04-2023,164.8079529,165.7385703,163.9961326,164.4416518,49923000
19-04-2023,165.9563751,166.4810824,163.8872303,164.1446442,47720200
20-04-2023,164.986145,166.1939656,163.9070313,164.4317385,52456400
21-04-2023,163.3724518,164.7881675,162.8477445,163.4021511,58337300
24-04-2023,163.6793365,163.9466451,162.2537112,163.3526295,41949600
25-04-2023,162.1349182,164.6495521,162.0953091,163.5407391,48714100
26-04-2023,162.1250153,163.6298438,161.1746084,161.4320071,45498800
27-04-2023,166.7285919,166.8770883,163.5407393,163.5407393,64902300
28-04-2023,167.9859009,168.1542169,166.2038842,166.8077946,55209200
01-05-2023,167.8968048,168.7482191,166.9562927,167.5899023,52472900
02-05-2023,166.8572845,168.6492261,165.8672686,168.3918123,48425700
03-05-2023,165.7781677,169.2135243,165.4910697,167.8077034,65136000
